alpha,k,accuracy
1.0,1.0,0.2491071428571428
1.0,3.0,0.2544285714285714
1.0,5.0,0.2589285714285714
1.0,7.0,0.2611428571428571
1.0,9.0,0.2635
1.0,11.0,0.2645714285714285
1.0,13.0,0.2651785714285714
1.0,15.0,0.2661071428571429
1.0,20.0,0.2676071428571429
1.0,25.0,0.26825
1.0,30.0,0.2697142857142857
1.0,40.0,0.2706428571428571
1.0,50.0,0.2707857142857143
1.0,100.0,0.2726785714285714
2.0,1.0,0.3798928571428571
2.0,3.0,0.3934642857142857
2.0,5.0,0.4065
2.0,7.0,0.4133214285714285
2.0,9.0,0.4175714285714286
2.0,11.0,0.4216428571428571
2.0,13.0,0.426
2.0,15.0,0.4287142857142857
2.0,20.0,0.434
2.0,25.0,0.4380357142857143
2.0,30.0,0.4410357142857143
2.0,40.0,0.4457857142857143
2.0,50.0,0.4478214285714286
2.0,100.0,0.4581071428571429
3.0,1.0,0.4398928571428571
3.0,3.0,0.4572857142857143
3.0,5.0,0.4739642857142857
3.0,7.0,0.4844285714285714
3.0,9.0,0.4917142857142857
3.0,11.0,0.4988571428571428
3.0,13.0,0.50175
3.0,15.0,0.5057857142857143
3.0,20.0,0.5120714285714286
3.0,25.0,0.5175714285714286
3.0,30.0,0.5201428571428571
3.0,40.0,0.52175
3.0,50.0,0.5223928571428571
3.0,100.0,0.5278571428571428
4.0,1.0,0.5744285714285714
4.0,3.0,0.6070714285714286
4.0,5.0,0.6291428571428571
4.0,7.0,0.6392142857142857
4.0,9.0,0.644
4.0,11.0,0.648
4.0,13.0,0.6494642857142857
4.0,15.0,0.6518214285714286
4.0,20.0,0.6541071428571429
4.0,25.0,0.6583928571428571
4.0,30.0,0.6595357142857143
4.0,40.0,0.6619642857142857
4.0,50.0,0.6630714285714285
4.0,100.0,0.6615357142857143
5.0,1.0,0.6885714285714286
5.0,3.0,0.7215357142857143
5.0,5.0,0.73975
5.0,7.0,0.7482857142857143
5.0,9.0,0.7534285714285714
5.0,11.0,0.7548214285714285
5.0,13.0,0.7560357142857143
5.0,15.0,0.7576428571428572
5.0,20.0,0.7604285714285715
5.0,25.0,0.7604285714285715
5.0,30.0,0.7608928571428571
5.0,40.0,0.7627142857142857
5.0,50.0,0.7624285714285715
5.0,100.0,0.7592142857142857
6.0,1.0,0.7918571428571428
6.0,3.0,0.8165357142857143
6.0,5.0,0.8276071428571429
6.0,7.0,0.8350714285714286
6.0,9.0,0.8370357142857143
6.0,11.0,0.8375357142857143
6.0,13.0,0.83875
6.0,15.0,0.8404642857142857
6.0,20.0,0.8403928571428572
6.0,25.0,0.84075
6.0,30.0,0.8398928571428571
6.0,40.0,0.8385714285714285
6.0,50.0,0.8373571428571429
6.0,100.0,0.8315
7.0,1.0,0.8383928571428572
7.0,3.0,0.8612142857142857
7.0,5.0,0.8702857142857143
7.0,7.0,0.8732857142857143
7.0,9.0,0.8749642857142857
7.0,11.0,0.8767857142857143
7.0,13.0,0.8773571428571428
7.0,15.0,0.8773928571428572
7.0,20.0,0.8774642857142857
7.0,25.0,0.8755357142857143
7.0,30.0,0.8748214285714285
7.0,40.0,0.87325
7.0,50.0,0.8718214285714285
7.0,100.0,0.8647142857142858
8.0,1.0,0.8759285714285714
8.0,3.0,0.8942142857142857
8.0,5.0,0.89975
8.0,7.0,0.9025714285714286
8.0,9.0,0.9036071428571428
8.0,11.0,0.9025714285714286
8.0,13.0,0.9028928571428572
8.0,15.0,0.9034285714285716
8.0,20.0,0.9032142857142856
8.0,25.0,0.9019285714285714
8.0,30.0,0.9006785714285714
8.0,40.0,0.8988928571428572
8.0,50.0,0.8973571428571429
8.0,100.0,0.8890357142857143
9.0,1.0,0.8937142857142857
9.0,3.0,0.9088928571428572
9.0,5.0,0.9133571428571428
9.0,7.0,0.91575
9.0,9.0,0.9151428571428571
9.0,11.0,0.9153214285714286
9.0,13.0,0.9149642857142856
9.0,15.0,0.9144642857142856
9.0,20.0,0.9132142857142858
9.0,25.0,0.9114642857142856
9.0,30.0,0.9107142857142856
9.0,40.0,0.9081428571428573
9.0,50.0,0.9059642857142856
9.0,100.0,0.8976428571428572
10.0,1.0,0.9136785714285716
10.0,3.0,0.9249285714285714
10.0,5.0,0.9285714285714286
10.0,7.0,0.9287142857142856
10.0,9.0,0.9278571428571428
10.0,11.0,0.9266071428571429
10.0,13.0,0.9266428571428572
10.0,15.0,0.9262857142857144
10.0,20.0,0.9245357142857142
10.0,25.0,0.9231071428571428
10.0,30.0,0.9221071428571428
10.0,40.0,0.9191071428571428
10.0,50.0,0.9173928571428572
10.0,100.0,0.9078571428571428
11.0,1.0,0.9245
11.0,3.0,0.93575
11.0,5.0,0.9377142857142856
11.0,7.0,0.9366428571428572
11.0,9.0,0.9354285714285714
11.0,11.0,0.9348571428571428
11.0,13.0,0.934
11.0,15.0,0.93325
11.0,20.0,0.9316071428571427
11.0,25.0,0.9293928571428572
11.0,30.0,0.9281071428571428
11.0,40.0,0.9250357142857144
11.0,50.0,0.9231071428571428
11.0,100.0,0.9139642857142856
12.0,1.0,0.9361785714285714
12.0,3.0,0.9435357142857144
12.0,5.0,0.9453571428571428
12.0,7.0,0.9446785714285716
12.0,9.0,0.9438928571428572
12.0,11.0,0.9425714285714286
12.0,13.0,0.9423571428571428
12.0,15.0,0.9415357142857144
12.0,20.0,0.9395714285714286
12.0,25.0,0.9373214285714284
12.0,30.0,0.9354642857142856
12.0,40.0,0.9328928571428572
12.0,50.0,0.93075
12.0,100.0,0.9215
13.0,1.0,0.9457142857142856
13.0,3.0,0.9512857142857144
13.0,5.0,0.9518571428571428
13.0,7.0,0.9514285714285714
13.0,9.0,0.9506071428571428
13.0,11.0,0.9497857142857142
13.0,13.0,0.9493928571428571
13.0,15.0,0.9483928571428571
13.0,20.0,0.9462142857142856
13.0,25.0,0.9445
13.0,30.0,0.9433928571428573
13.0,40.0,0.9401785714285714
13.0,50.0,0.9380714285714286
13.0,100.0,0.9297857142857144
14.0,1.0,0.9497857142857142
14.0,3.0,0.9553571428571428
14.0,5.0,0.95625
14.0,7.0,0.9555357142857144
14.0,9.0,0.9539642857142856
14.0,11.0,0.9526071428571428
14.0,13.0,0.9521071428571428
14.0,15.0,0.9508571428571428
14.0,20.0,0.9487142857142856
14.0,25.0,0.9477857142857142
14.0,30.0,0.9465
14.0,40.0,0.9434285714285714
14.0,50.0,0.9411071428571428
14.0,100.0,0.93275
15.0,1.0,0.9521071428571428
15.0,3.0,0.9569285714285716
15.0,5.0,0.9584642857142858
15.0,7.0,0.9572142857142856
15.0,9.0,0.9559642857142856
15.0,11.0,0.9550357142857144
15.0,13.0,0.9544642857142858
15.0,15.0,0.9533571428571428
15.0,20.0,0.9519642857142856
15.0,25.0,0.9503571428571428
15.0,30.0,0.9488571428571428
15.0,40.0,0.9458571428571428
15.0,50.0,0.9432142857142856
15.0,100.0,0.9347142857142856
16.0,1.0,0.9586785714285714
16.0,3.0,0.9627142857142856
16.0,5.0,0.9627857142857142
16.0,7.0,0.9613571428571428
16.0,9.0,0.9598571428571429
16.0,11.0,0.9596071428571428
16.0,13.0,0.9587142857142856
16.0,15.0,0.9582142857142856
16.0,20.0,0.9561428571428572
16.0,25.0,0.9548214285714286
16.0,30.0,0.9536071428571428
16.0,40.0,0.9516785714285714
16.0,50.0,0.9487857142857142
16.0,100.0,0.9403214285714284
17.0,1.0,0.9601071428571428
17.0,3.0,0.9641428571428572
17.0,5.0,0.9635
17.0,7.0,0.9629285714285716
17.0,9.0,0.96175
17.0,11.0,0.9610714285714286
17.0,13.0,0.9604285714285714
17.0,15.0,0.9601785714285714
17.0,20.0,0.9583214285714284
17.0,25.0,0.9562142857142856
17.0,30.0,0.9550714285714286
17.0,40.0,0.9522142857142856
17.0,50.0,0.9493571428571428
17.0,100.0,0.9410357142857144
18.0,1.0,0.9619642857142856
18.0,3.0,0.9664285714285714
18.0,5.0,0.9660714285714286
18.0,7.0,0.9644642857142856
18.0,9.0,0.9638214285714286
18.0,11.0,0.9631428571428572
18.0,13.0,0.9620357142857144
18.0,15.0,0.9611428571428572
18.0,20.0,0.9599642857142856
18.0,25.0,0.9583214285714284
18.0,30.0,0.9567857142857142
18.0,40.0,0.9533571428571428
18.0,50.0,0.9514642857142858
18.0,100.0,0.9434642857142858
19.0,1.0,0.9643571428571428
19.0,3.0,0.9674642857142856
19.0,5.0,0.9672142857142856
19.0,7.0,0.9654285714285714
19.0,9.0,0.9648571428571427
19.0,11.0,0.964
19.0,13.0,0.9633928571428572
19.0,15.0,0.96225
19.0,20.0,0.9611428571428572
19.0,25.0,0.9591785714285714
19.0,30.0,0.9574642857142858
19.0,40.0,0.9545357142857144
19.0,50.0,0.9527857142857142
19.0,100.0,0.9446428571428572
20.0,1.0,0.9659642857142856
20.0,3.0,0.96875
20.0,5.0,0.9681071428571428
20.0,7.0,0.9670714285714286
20.0,9.0,0.9656785714285714
20.0,11.0,0.9653571428571428
20.0,13.0,0.9644642857142856
20.0,15.0,0.9633928571428572
20.0,20.0,0.9615
20.0,25.0,0.9596071428571428
20.0,30.0,0.9583214285714284
20.0,40.0,0.9565
20.0,50.0,0.9542857142857144
20.0,100.0,0.9453214285714284
25.0,1.0,0.9710357142857144
25.0,3.0,0.9723214285714286
25.0,5.0,0.9726071428571428
25.0,7.0,0.9706785714285714
25.0,9.0,0.9694642857142856
25.0,11.0,0.9691071428571428
25.0,13.0,0.9677857142857142
25.0,15.0,0.9674642857142856
25.0,20.0,0.9658214285714286
25.0,25.0,0.9639285714285716
25.0,30.0,0.9624285714285714
25.0,40.0,0.9598214285714286
25.0,50.0,0.9566071428571428
25.0,100.0,0.9483571428571428
30.0,1.0,0.9739642857142856
30.0,3.0,0.9747142857142858
30.0,5.0,0.9740714285714286
30.0,7.0,0.9728214285714286
30.0,9.0,0.9719285714285716
30.0,11.0,0.9707142857142858
30.0,13.0,0.9699642857142856
30.0,15.0,0.9691428571428572
30.0,20.0,0.9677142857142856
30.0,25.0,0.9651428571428572
30.0,30.0,0.9635714285714284
30.0,40.0,0.9612857142857144
30.0,50.0,0.9589642857142856
30.0,100.0,0.9506785714285716
35.0,1.0,0.9745357142857144
35.0,3.0,0.9754642857142856
35.0,5.0,0.9750357142857144
35.0,7.0,0.9740714285714286
35.0,9.0,0.9733928571428572
35.0,11.0,0.9721785714285714
35.0,13.0,0.9709285714285716
35.0,15.0,0.9700357142857144
35.0,20.0,0.9680357142857144
35.0,25.0,0.9653571428571428
35.0,30.0,0.9643214285714286
35.0,40.0,0.9616071428571428
35.0,50.0,0.9590357142857144
35.0,100.0,0.9493928571428571
40.0,1.0,0.9746071428571428
40.0,3.0,0.9755357142857144
40.0,5.0,0.9752857142857144
40.0,7.0,0.9740714285714286
40.0,9.0,0.9729642857142856
40.0,11.0,0.972
40.0,13.0,0.9702857142857144
40.0,15.0,0.9692142857142856
40.0,20.0,0.9673928571428572
40.0,25.0,0.9658214285714286
40.0,30.0,0.9641428571428572
40.0,40.0,0.9609285714285716
40.0,50.0,0.9584642857142858
40.0,100.0,0.9485
45.0,1.0,0.975
45.0,3.0,0.9755357142857144
45.0,5.0,0.9747142857142858
45.0,7.0,0.9737857142857144
45.0,9.0,0.9725357142857144
45.0,11.0,0.9716071428571428
45.0,13.0,0.9702142857142856
45.0,15.0,0.9687857142857144
45.0,20.0,0.967
45.0,25.0,0.9648571428571427
45.0,30.0,0.9635357142857144
45.0,40.0,0.9602857142857144
45.0,50.0,0.9581428571428572
45.0,100.0,0.9482142857142856
50.0,1.0,0.9752142857142856
50.0,3.0,0.9757857142857144
50.0,5.0,0.9750357142857144
50.0,7.0,0.9738928571428572
50.0,9.0,0.9730714285714286
50.0,11.0,0.9720357142857144
50.0,13.0,0.9703928571428572
50.0,15.0,0.9688928571428572
50.0,20.0,0.9667857142857142
50.0,25.0,0.96475
50.0,30.0,0.9634285714285714
50.0,40.0,0.9603571428571428
50.0,50.0,0.9582857142857144
50.0,100.0,0.947
